Name,Score,Time,Link,Addr
러빈허 플라워&갤러리 카페,4.1,매일 10:30 ~ 23:00,https://place.map.kakao.com/2014990648,"
서울 마포구 신촌로6길 22
(지번) 동교동 177-12
"
씨스루 홍대연남점,4.2,매일 12:00 ~ 22:00,https://place.map.kakao.com/717607875,"
서울 마포구 동교로 266-6 1층
(지번) 연남동 387-3
"
히어로보드게임카페 홍대1호점,4.7,"토,일 13:00 ~ 01:00",https://place.map.kakao.com/13623634,"
서울 마포구 와우산로21길 31-10 2층
(지번) 서교동 364-22
"
카페 사운드웨이브,5.0,영업시간 매일 11:00 ~ 20:00,https://place.map.kakao.com/1985941727,"
서울 마포구 독막로3길 24 3층
(지번) 서교동 396-29
"
허밍벨라,3.2,"월,화,수,목,일 11:00 ~ 24:00",https://place.map.kakao.com/24532689,"
서울 마포구 독막로7길 57
(지번) 서교동 395-199
"
모리츠플라츠,4.1,매일 12:00 ~ 23:00,https://place.map.kakao.com/1140900586,"
서울 마포구 와우산로 174 1층
(지번) 동교동 184-17
"
커피냅로스터스 연남동,4.2,매일 09:00 ~ 22:00,https://place.map.kakao.com/712401118,"
서울 마포구 성미산로27길 70
(지번) 연남동 453-32
"
땡스네이쳐,4.5,매일 11:00 ~ 22:00,https://place.map.kakao.com/10368349,"
서울 마포구 홍익로 10 푸르지오상가 지하 121호
(지번) 서교동 486
"
듁스커피 쇼룸,4.2,"영업시간 토,일 11:00 ~ 19:00",https://place.map.kakao.com/629977903,"
서울 마포구 어울마당로2길 10 1층
(지번) 당인동 24-11
"
하이웨스트,2.8,매일 12:00 ~ 23:00,https://place.map.kakao.com/1703055634,"
서울 마포구 성미산로 167-9
(지번) 연남동 223-80
"
8810리스트레토바,4.1,수~일 10:30 ~ 21:00,https://place.map.kakao.com/1994324336,"
서울 마포구 월드컵북로6길 88-10
(지번) 동교동 197-31
"
보헤미안박이추커피공장 상암점,3.9,"토,일 11:00 ~ 20:30",https://place.map.kakao.com/286639399,"
서울 마포구 성암로 267 MBC몰파크 2층 201호
(지번) 상암동 1603
"
루프트커피 망원점,2.9,화~일 10:00 ~ 22:00,https://place.map.kakao.com/256075703,"
서울 마포구 망원로6길 65 1,2층
(지번) 망원동 399-10
"
대충유원지,3.9,매일 12:30 ~ 22:00,https://place.map.kakao.com/1658636377,"
서울 마포구 월드컵북로6길 37
(지번) 연남동 570-28
"
바나나하루키,3.5,일 12:00 ~ 20:30,https://place.map.kakao.com/1092875561,"
서울 마포구 독막로19길 8-17
(지번) 상수동 72-43
"
꼬르소산도,4.3,영업시간 일 12:00 ~ 20:00,https://place.map.kakao.com/728136862,"
서울 마포구 월드컵로 157 1층
(지번) 망원동 474-2
"
네시사분,4.7,화~일 13:30 ~ 23:00,https://place.map.kakao.com/1925445486,"
서울 마포구 성미산로 190-8 1층
(지번) 연남동 387-7
"
일쩜오플로어 연남,3.6,화~일 13:00 ~ 21:00,https://place.map.kakao.com/1248588188,"
서울 마포구 동교로34길 21
(지번) 연남동 381-5
"
벌스가든&하우스,4.2,화~일 11:00 ~ 22:00,https://place.map.kakao.com/27220453,"
서울 마포구 성미산로23길 44
(지번) 연남동 246-22
"
아워타임투게더,4.3,"월,목,금,토,일 12:00 ~ 21:00",https://place.map.kakao.com/1257613411,"
서울 마포구 희우정로12길 17
(지번) 망원동 398-10
"
아틀리에크레타,4.0,영업시간 일 12:00 ~ 18:00,https://place.map.kakao.com/1031418469,"
서울 마포구 망원로2길 69 2층
(지번) 망원동 398-35
"
쇼콜라윰,4.1,매일 10:00 ~ 23:00,https://place.map.kakao.com/7940799,"
서울 마포구 와우산로21길 26
(지번) 서교동 358-125
"
도화아파트먼트,4.3,매일 09:00 ~ 21:00,https://place.map.kakao.com/1302220326,"
서울 마포구 도화2길 27
(지번) 도화동 346-2
"
라헬의부엌 홍대점,3.6,"월,화,수,목,금,일 11:00 ~ 22:00",https://place.map.kakao.com/432440843,"
서울 마포구 와우산로29길 47
(지번) 서교동 333-6
"
루아르커피바 대흥점,4.2,영업시간 매일 12:00 ~ 19:00,https://place.map.kakao.com/2041323022,"
서울 마포구 독막로34길 32 1층
(지번) 신수동 42-10
"
펠트커피 창전동점,3.8,영업시간 매일 09:00 ~ 18:00,https://place.map.kakao.com/27445858,"
서울 마포구 서강로11길 23
(지번) 창전동 2-47
"
